business_id,business_category,business_age_months,data_confidence_level,history_start_month,monthly_revenue_m1,ussd_transaction_count_m1,mobile_money_frequency_m1,airtime_topup_regularity_m1,card_payment_volume_m1,settlement_consistency_m1,refund_rate_m1,monthly_revenue_m2,ussd_transaction_count_m2,mobile_money_frequency_m2,airtime_topup_regularity_m2,card_payment_volume_m2,settlement_consistency_m2,refund_rate_m2,monthly_revenue_m3,ussd_transaction_count_m3,mobile_money_frequency_m3,airtime_topup_regularity_m3,card_payment_volume_m3,settlement_consistency_m3,refund_rate_m3,monthly_revenue_m4,ussd_transaction_count_m4,mobile_money_frequency_m4,airtime_topup_regularity_m4,card_payment_volume_m4,settlement_consistency_m4,refund_rate_m4,monthly_revenue_m5,ussd_transaction_count_m5,mobile_money_frequency_m5,airtime_topup_regularity_m5,card_payment_volume_m5,settlement_consistency_m5,refund_rate_m5,monthly_revenue_m6,ussd_transaction_count_m6,mobile_money_frequency_m6,airtime_topup_regularity_m6,card_payment_volume_m6,settlement_consistency_m6,refund_rate_m6
NG-SME-00001,retail,13,high,11,416992.93,420,257,0.788,32,1.6,1.92,364951.49,569,300,0.69,44,1.4,2.13,283967.58,375,158,0.721,32,1.1,3.35,365191.55,263,212,0.69,26,0.9,2.77,334682.48,420,243,0.935,46,0.8,1.09,389621.87,397,214,0.749,61,0.5,2.76
NG-SME-00002,retail,24,high,8,752132.78,107,64,1.0,27,2.3,2.22,722082.13,104,64,0.658,31,3.4,3.1,974435.92,141,83,0.71,38,2.9,2.24,1094682.56,119,93,0.744,55,2.5,1.81,1239863.06,173,114,0.608,56,2.8,2.29,770909.82,123,65,0.854,32,2.3,2.87
NG-SME-00003,food,16,high,5,370563.92,213,122,0.798,5,1.5,2.18,417058.29,320,110,0.866,9,1.0,1.06,532564.82,320,112,0.773,9,0.7,3.04,364341.21,199,110,0.629,4,0.5,1.17,325850.84,227,93,0.581,5,1.0,1.54,402102.08,260,62,0.723,5,0.5,2.45
NG-SME-00004,services,12,high,12,1046116.1,400,123,0.354,39,1.3,3.1,713823.56,279,78,0.56,28,2.0,3.79,787929.79,294,76,0.513,32,1.5,2.84,854831.04,331,97,0.756,37,2.5,3.82,964518.25,322,120,0.318,34,2.0,4.04,714528.24,245,84,0.522,40,1.9,2.93
NG-SME-00005,retail,39,high,10,751553.85,157,204,0.95,23,2.9,2.41,1049978.81,237,199,0.63,57,1.0,2.9,995494.88,267,255,0.87,50,2.1,3.19,634445.43,129,151,0.765,35,1.7,1.54,794047.65,162,188,0.764,28,2.4,2.23,808984.45,204,160,0.785,58,1.6,2.12
NG-SME-00006,food,19,high,8,480238.21,132,134,0.794,26,2.2,1.36,438961.56,140,102,0.506,26,2.6,0.79,572231.05,148,168,0.766,28,2.3,1.89,554605.48,160,130,0.651,34,2.5,1.46,714524.8,218,170,0.552,25,1.7,2.78,382277.36,141,120,0.696,22,1.6,0.77
NG-SME-00007,retail,13,high,7,591527.22,440,177,0.831,24,3.1,2.9,434426.51,240,144,0.881,16,2.8,2.54,343540.78,336,115,0.752,17,3.1,2.55,457185.29,401,131,0.818,20,3.2,1.35,497192.34,453,177,0.719,19,3.8,2.19,589611.18,394,194,0.782,18,3.4,3.21
NG-SME-00008,retail,27,high,6,781244.74,117,41,0.886,28,2.4,0.8,694748.81,107,54,0.721,27,2.1,2.08,544893.58,97,37,0.755,32,3.1,1.89,583480.96,83,23,0.789,20,1.6,2.62,464765.63,101,40,0.723,20,1.6,2.77,776593.65,101,40,0.74,34,1.7,4.0
NG-SME-00009,retail,52,high,3,409733.77,146,215,0.755,2,3.0,3.28,420301.98,164,234,0.705,2,2.6,3.02,408225.91,143,250,0.812,2,2.0,3.59,456730.47,201,205,0.643,2,3.0,1.73,438743.88,165,248,0.736,2,2.9,3.05,353082.66,163,216,0.762,2,1.9,3.35
NG-SME-00010,retail,8,medium,2,545053.06,207,137,0.744,16,1.7,2.08,439274.43,260,188,0.846,23,2.1,2.04,559185.76,246,190,0.651,25,1.9,2.28,605665.96,226,144,0.8,12,1.9,0.66,704170.24,207,184,0.697,27,2.3,1.29,690037.46,303,177,0.671,28,2.4,3.59
NG-SME-00011,food,65,high,11,572959.59,109,205,0.757,38,2.0,2.31,648819.45,128,234,0.721,42,2.1,1.97,473651.63,79,136,0.621,15,2.9,3.17,637084.61,128,190,0.508,39,2.6,2.59,437874.69,124,185,0.71,36,2.0,2.41,558838.3,117,121,0.442,50,1.5,1.81
NG-SME-00012,transport,16,high,3,389300.55,96,116,0.915,5,0.9,1.33,397120.14,112,120,0.721,7,1.4,1.66,353697.92,119,113,0.823,5,1.4,0.5,485958.6,141,133,0.911,10,1.0,0.88,522487.82,154,121,1.0,11,0.6,1.61,405394.05,139,109,0.932,12,1.1,2.2
NG-SME-00013,food,38,high,1,190120.52,204,128,0.582,8,0.8,0.71,239426.0,227,157,0.482,16,1.2,2.92,245684.08,195,177,0.589,15,0.8,1.25,231625.29,205,161,0.726,12,0.5,2.29,208970.9,183,161,0.671,12,0.5,1.3,260548.84,263,136,0.737,14,1.3,1.07
NG-SME-00014,food,40,high,6,562929.65,327,159,0.582,25,0.5,1.89,586040.5,263,204,0.665,48,2.4,1.65,520498.36,290,137,0.572,31,1.8,2.21,553056.99,208,131,0.717,32,1.0,1.56,524602.01,229,153,0.639,36,0.9,2.93,526270.38,271,179,0.666,27,0.6,1.9
